ZONE I = 21,J = 21,F=POINT
0.2	0.1	0.28	-0.12	-0.08	0.56	0.08	0.28
0.2	0.15	0.195	-0.12	-0.105	0.52	0.12	0.39
0.2	0.2	0.12	-0.12	-0.12	0.48	0.16	0.48
0.2	0.25	0.055	-0.12	-0.125	0.44	0.2	0.55
0.2	0.3	0	-0.12	-0.12	0.4	0.24	0.6
0.2	0.35	-0.045	-0.12	-0.105	0.36	0.28	0.63
0.2	0.4	-0.08	-0.12	-0.08	0.32	0.32	0.64
0.2	0.45	-0.105	-0.12	-0.045	0.28	0.36	0.63
0.2	0.5	-0.12	-0.12	0	0.24	0.4	0.6
0.2	0.55	-0.125	-0.12	0.055	0.2	0.44	0.55
0.2	0.6	-0.12	-0.12	0.12	0.16	0.48	0.48
0.2	0.65	-0.105	-0.12	0.195	0.12	0.52	0.39
0.2	0.7	-0.08	-0.12	0.28	0.08	0.56	0.28
0.2	0.75	-0.045	-0.12	0.375	0.04	0.6	0.15
0.2	0.8	-0	-0.12	0.48	0	0.64	0
0.2	0.8	-0	-0.12	0.48	0	0.64	0
0.2	0.8	-0	-0.12	0.48	0	0.64	0
0.2	0.8	-0	-0.12	0.48	0	0.64	0
0.2	0.8	-0	-0.12	0.48	0	0.64	0
0.25	0	0.375	-0.125	-0	0.75	0	0
0.25	0.05	0.28	-0.125	-0.045	0.7	0.05	0.14
0.25	0.1	0.195	-0.125	-0.08	0.65	0.1	0.26
0.25	0.15	0.12	-0.125	-0.105	0.6	0.15	0.36
0.25	0.2	0.055	-0.125	-0.12	0.55	0.2	0.44
0.25	0.25	0	-0.125	-0.125	0.5	0.25	0.5
0.25	0.3	-0.045	-0.125	-0.12	0.45	0.3	0.54
0.25	0.35	-0.08	-0.125	-0.105	0.4	0.35	0.56
0.25	0.4	-0.105	-0.125	-0.08	0.35	0.4	0.56
0.25	0.45	-0.12	-0.125	-0.045	0.3	0.45	0.54
0.25	0.5	-0.125	-0.125	0	0.25	0.5	0.5
0.25	0.55	-0.12	-0.125	0.055	0.2	0.55	0.44
0.25	0.6	-0.105	-0.125	0.12	0.15	0.6	0.36
0.25	0.65	-0.08	-0.125	0.195	0.1	0.65	0.26
0.25	0.7	-0.045	-0.125	0.28	0.05	0.7	0.14
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.25	0.75	-0	-0.125	0.375	0	0.75	0
0.3	0	0.28	-0.12	-0	0.84	0	0
0.3	0.05	0.195	-0.12	-0.045	0.78	0.06	0.13
0.3	0.1	0.12	-0.12	-0.08	0.72	0.12	0.24
0.3	0.15	0.055	-0.12	-0.105	0.66	0.18	0.33
0.3	0.2	-5.55112e-17	-0.12	-0.12	0.6	0.24	0.4
0.3	0.25	-0.045	-0.12	-0.125	0.54	0.3	0.45
0.3	0.3	-0.08	-0.12	-0.12	0.48	0.36	0.48
0.3	0.35	-0.105	-0.12	-0.105	0.42	0.42	0.49
0.3	0.4	-0.12	-0.12	-0.08	0.36	0.48	0.48
0.3	0.45	-0.125	-0.12	-0.045	0.3	0.54	0.45
0.3	0.5	-0.12	-0.12	0	0.24	0.6	0.4
0.3	0.55	-0.105	-0.12	0.055	0.18	0.66	0.33
0.3	0.6	-0.08	-0.12	0.12	0.12	0.72	0.24
0.3	0.65	-0.045	-0.12	0.195	0.06	0.78	0.13
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.3	0.7	1.11022e-16	-0.12	0.28	-1.33227e-16	0.84	-3.10862e-16
0.35	0	0.195	-0.105	-0	0.91	0	0
0.35	0.05	0.12	-0.105	-0.045	0.84	0.07	0.12
0.35	0.1	0.055	-0.105	-0.08	0.77	0.14	0.22
0.35	0.15	-1.11022e-16	-0.105	-0.105	0.7	0.21	0.3
0.35	0.2	-0.045	-0.105	-0.12	0.63	0.28	0.36
0.35	0.25	-0.08	-0.105	-0.125	0.56	0.35	0.4
0.35	0.3	-0.105	-0.105	-0.12	0.49	0.42	0.42
0.35	0.35	-0.12	-0.105	-0.105	0.42	0.49	0.42
0.35	0.4	-0.125	-0.105	-0.08	0.35	0.56	0.4
0.35	0.45	-0.12	-0.105	-0.045	0.28	0.63	0.36
0.35	0.5	-0.105	-0.105	0	0.21	0.7	0.3
0.35	0.55	-0.08	-0.105	0.055	0.14	0.77	0.22
0.35	0.6	-0.045	-0.105	0.12	0.07	0.84	0.12
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.35	0.65	1.11022e-16	-0.105	0.195	-1.55431e-16	0.91	-2.88658e-16
0.4	0	0.12	-0.08	-0	0.96	0	0
0.4	0.05	0.055	-0.08	-0.045	0.88	0.08	0.11
0.4	0.1	0	-0.08	-0.08	0.8	0.16	0.2
0.4	0.15	-0.045	-0.08	-0.105	0.72	0.24	0.27
0.4	0.2	-0.08	-0.08	-0.12	0.64	0.32	0.32
0.4	0.25	-0.105	-0.08	-0.125	0.56	0.4	0.35
0.4	0.3	-0.12	-0.08	-0.12	0.48	0.48	0.36
0.4	0.35	-0.125	-0.08	-0.105	0.4	0.56	0.35
0.4	0.4	-0.12	-0.08	-0.08	0.32	0.64	0.32
0.4	0.45	-0.105	-0.08	-0.045	0.24	0.72	0.27
0.4	0.5	-0.08	-0.08	0	0.16	0.8	0.2
0.4	0.55	-0.045	-0.08	0.055	0.08	0.88	0.11
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.4	0.6	1.11022e-16	-0.08	0.12	-1.77636e-16	0.96	-2.66454e-16
0.45	0	0.055	-0.045	-0	0.99	0	0
0.45	0.05	0	-0.045	-0.045	0.9	0.09	0.1
0.45	0.1	-0.045	-0.045	-0.08	0.81	0.18	0.18
0.45	0.15	-0.08	-0.045	-0.105	0.72	0.27	0.24
0.45	0.2	-0.105	-0.045	-0.12	0.63	0.36	0.28
0.45	0.25	-0.12	-0.045	-0.125	0.54	0.45	0.3
0.45	0.3	-0.125	-0.045	-0.12	0.45	0.54	0.3
0.45	0.35	-0.12	-0.045	-0.105	0.36	0.63	0.28
0.45	0.4	-0.105	-0.045	-0.08	0.27	0.72	0.24
0.45	0.45	-0.08	-0.045	-0.045	0.18	0.81	0.18
0.45	0.5	-0.045	-0.045	0	0.09	0.9	0.1
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.45	0.55	-0	-0.045	0.055	0	0.99	0
0.5	0	0	0	-0	1	0	0
0.5	0.05	-0.045	0	-0.045	0.9	0.1	0.09
0.5	0.1	-0.08	0	-0.08	0.8	0.2	0.16
0.5	0.15	-0.105	0	-0.105	0.7	0.3	0.21
0.5	0.2	-0.12	0	-0.12	0.6	0.4	0.24
0.5	0.25	-0.125	0	-0.125	0.5	0.5	0.25
0.5	0.3	-0.12	0	-0.12	0.4	0.6	0.24
0.5	0.35	-0.105	0	-0.105	0.3	0.7	0.21
0.5	0.4	-0.08	0	-0.08	0.2	0.8	0.16
0.5	0.45	-0.045	0	-0.045	0.1	0.9	0.09
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.5	0.5	-0	0	0	0	1	0
0.55	0	-0.045	0.055	-0	0.99	0	0
0.55	0.05	-0.08	0.055	-0.045	0.88	0.11	0.08
0.55	0.1	-0.105	0.055	-0.08	0.77	0.22	0.14
0.55	0.15	-0.12	0.055	-0.105	0.66	0.33	0.18
0.55	0.2	-0.125	0.055	-0.12	0.55	0.44	0.2
0.55	0.25	-0.12	0.055	-0.125	0.44	0.55	0.2
0.55	0.3	-0.105	0.055	-0.12	0.33	0.66	0.18
0.55	0.35	-0.08	0.055	-0.105	0.22	0.77	0.14
0.55	0.4	-0.045	0.055	-0.08	0.11	0.88	0.08
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.55	0.45	5.55112e-17	0.055	-0.045	-1.22125e-16	0.99	-9.99201e-17
0.6	0	-0.08	0.12	-0	0.96	0	0
0.6	0.05	-0.105	0.12	-0.045	0.84	0.12	0.07
0.6	0.1	-0.12	0.12	-0.08	0.72	0.24	0.12
0.6	0.15	-0.125	0.12	-0.105	0.6	0.36	0.15
0.6	0.2	-0.12	0.12	-0.12	0.48	0.48	0.16
0.6	0.25	-0.105	0.12	-0.125	0.36	0.6	0.15
0.6	0.3	-0.08	0.12	-0.12	0.24	0.72	0.12
0.6	0.35	-0.045	0.12	-0.105	0.12	0.84	0.07
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.6	0.4	1.11022e-16	0.12	-0.08	-2.66454e-16	0.96	-1.77636e-16
0.65	0	-0.105	0.195	-0	0.91	0	0
0.65	0.05	-0.12	0.195	-0.045	0.78	0.13	0.06
0.65	0.1	-0.125	0.195	-0.08	0.65	0.26	0.1
0.65	0.15	-0.12	0.195	-0.105	0.52	0.39	0.12
0.65	0.2	-0.105	0.195	-0.12	0.39	0.52	0.12
0.65	0.25	-0.08	0.195	-0.125	0.26	0.65	0.1
0.65	0.3	-0.045	0.195	-0.12	0.13	0.78	0.06
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.65	0.35	5.55112e-17	0.195	-0.105	-1.44329e-16	0.91	-7.77156e-17
0.7	0	-0.12	0.28	-0	0.84	0	0
0.7	0.05	-0.125	0.28	-0.045	0.7	0.14	0.05
0.7	0.1	-0.12	0.28	-0.08	0.56	0.28	0.08
0.7	0.15	-0.105	0.28	-0.105	0.42	0.42	0.09
0.7	0.2	-0.08	0.28	-0.12	0.28	0.56	0.08
0.7	0.25	-0.045	0.28	-0.125	0.14	0.7	0.05
