ZONE I = 21,J = 21,F=POINT
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.5	0.5	-0
0.55	0	-0.045
0.55	0.05	-0.08
0.55	0.1	-0.105
0.55	0.15	-0.12
0.55	0.2	-0.125
0.55	0.25	-0.12
0.55	0.3	-0.105
0.55	0.35	-0.08
0.55	0.4	-0.045
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.55	0.45	5.55112e-17
0.6	0	-0.08
0.6	0.05	-0.105
0.6	0.1	-0.12
0.6	0.15	-0.125
0.6	0.2	-0.12
0.6	0.25	-0.105
0.6	0.3	-0.08
0.6	0.35	-0.045
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.6	0.4	1.11022e-16
0.65	0	-0.105
0.65	0.05	-0.12
0.65	0.1	-0.125
0.65	0.15	-0.12
0.65	0.2	-0.105
0.65	0.25	-0.08
0.65	0.3	-0.045
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.65	0.35	5.55112e-17
0.7	0	-0.12
0.7	0.05	-0.125
0.7	0.1	-0.12
0.7	0.15	-0.105
0.7	0.2	-0.08
0.7	0.25	-0.045
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.7	0.3	1.11022e-16
0.75	0	-0.125
0.75	0.05	-0.12
0.75	0.1	-0.105
0.75	0.15	-0.08
0.75	0.2	-0.045
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.75	0.25	-0
0.8	0	-0.12
0.8	0.05	-0.105
0.8	0.1	-0.08
0.8	0.15	-0.045
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.8	0.2	5.55112e-17
0.85	0	-0.105
0.85	0.05	-0.08
0.85	0.1	-0.045
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.85	0.15	1.11022e-16
0.9	0	-0.08
0.9	0.05	-0.045
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.9	0.1	2.77556e-17
0.95	0	-0.045
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
