      1,           1.,           0.
      2,          3.5,           0.
      3,          3.5,           2.
      4,           0.,           2.
      5,           0.,           1.
      6,    0.1950903,    0.9807853
      7,    0.4713967,    0.8819213
      8,    0.6343933,    0.7730104
      9,    0.7730104,    0.6343933
     10,    0.8819213,    0.4713967
     11,    0.9807853,    0.1950903
     12,          1.1,           0.
     13,          1.2,           0.
     14,          1.3,           0.
     15,          1.4,           0.
     16,          1.5,           0.
     17,          1.6,           0.
     18,          1.7,           0.
     19,          1.8,           0.
     20,          1.9,           0.
     21,           2.,           0.
     22,          2.1,           0.
     23,          2.2,           0.
     24,          2.3,           0.
     25,          2.4,           0.
     26,          2.5,           0.
     27,          2.6,           0.
     28,          2.7,           0.
     29,          2.8,           0.
     30,          2.9,           0.
     31,           3.,           0.
     32,          3.1,           0.
     33,          3.2,           0.
     34,          3.3,           0.
     35,          3.4,           0.
     36,          3.5,          0.1
     37,          3.5,          0.2
     38,          3.5,          0.3
     39,          3.5,          0.4
     40,          3.5,          0.5
     41,          3.5,          0.6
     42,          3.5,          0.7
     43,          3.5,          0.8
     44,          3.5,          0.9
     45,          3.5,           1.
     46,          3.5,          1.1
     47,          3.5,          1.2
     48,          3.5,          1.3
     49,          3.5,          1.4
     50,          3.5,          1.5
     51,          3.5,          1.6
     52,          3.5,          1.7
     53,          3.5,          1.8
     54,          3.5,          1.9
     55,          3.4,           2.
     56,          3.3,           2.
     57,          3.2,           2.
     58,          3.1,           2.
     59,           3.,           2.
     60,          2.9,           2.
     61,          2.8,           2.
     62,          2.7,           2.
     63,          2.6,           2.
     64,          2.5,           2.
     65,          2.4,           2.
     66,          2.3,           2.
     67,          2.2,           2.
     68,          2.1,           2.
     69,           2.,           2.
     70,          1.9,           2.
     71,          1.8,           2.
     72,          1.7,           2.
     73,          1.6,           2.
     74,          1.5,           2.
     75,          1.4,           2.
     76,          1.3,           2.
     77,          1.2,           2.
     78,          1.1,           2.
     79,           1.,           2.
     80,          0.9,           2.
     81,          0.8,           2.
     82,          0.7,           2.
     83,          0.6,           2.
     84,          0.5,           2.
     85,          0.4,           2.
     86,          0.3,           2.
     87,          0.2,           2.
     88,          0.1,           2.
     89,           0.,          1.9
     90,           0.,          1.8
     91,           0.,          1.7
     92,           0.,          1.6
     93,           0.,          1.5
     94,           0.,          1.4
     95,           0.,          1.3
     96,           0.,          1.2
     97,           0.,          1.1
     98,   0.09801714,    0.9951847
     99,    0.2902847,    0.9569404
    100,    0.3826834,    0.9238795
    101,    0.5555702,    0.8314696
    102,    0.7071068,    0.7071068
    103,    0.8314696,    0.5555702
    104,    0.9238795,    0.3826834
    105,    0.9569404,    0.2902847
    106,    0.9951847,   0.09801714
    107,    0.9797283,     0.463377
    108,     3.413398,         1.05
    109,         1.75,    0.0866025
    110,         0.85,     1.913398
    111,         1.45,    0.0866025
    112,         1.55,    0.0866025
    113,         1.65,    0.0866025
    114,         1.85,    0.0866025
    115,         2.05,    0.0866025
    116,         2.25,    0.0866025
    117,     3.413398,         1.45
    118,     3.413398,         1.35
    119,         2.55,    0.0866025
    120,         2.65,    0.0866025
    121,         2.75,    0.0866025
    122,         2.85,    0.0866025
    123,         2.95,    0.0866025
    124,     3.413398,         0.35
    125,         3.15,    0.0866025
    126,         3.25,    0.0866025
    127,     3.413398,         0.15
    128,     3.413398,         0.25
    129,         3.05,    0.0866025
    130,     3.413398,         0.55
    131,     3.413398,         0.65
    132,     3.413398,         0.75
    133,     3.413398,         0.85
    134,     3.413398,         0.95
    135,     3.413398,         1.15
    136,     3.413398,         1.25
    137,         3.15,     1.913398
    138,     3.413398,         1.65
    139,         3.25,     1.913398
    140,     3.413398,         1.75
    141,         3.35,     1.913398
    142,         2.45,    0.0866025
    143,         2.45,     1.913398
    144,         2.35,    0.0866025
    145,         2.35,     1.913398
